Depositante;Estado;Ano;Depósitos
PETROBRAS;Rio de Janeiro;1993;51
CONSUL S A;Santa Catarina;1993;24
CSN;Rio de Janeiro;1993;19
EMBRACO;Santa Catarina;1993;17
CLAUDIO LOURENCO LORENZETTI;São Paulo;1993;13
UNICAMP;São Paulo;1993;13
MARIA ALICE UCHOA LACERDA MOTTA;Paraná;1993;12
MENDES JUNIOR SIDERURGIA S A;Minas Gerais;1993;12
USIMINAS;Minas Gerais;1993;12
JULIO GUIDO SIGNORETTI;Mato Grosso do Sul;1993;11
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1993;10
FREIOS VARGA S A;São Paulo;1993;10
ORLANDO SOBRINHO LEMOS;Rio de Janeiro;1993;10
ALCAN ALUMINIO DO BRASIL S A;São Paulo;1993;9
AMP DO BRASIL CONECTORES ELETRICOS E ELETRONICOS LTDA;São Paulo;1993;9
CSN;Rio de Janeiro;1994;30
PETROBRAS;Rio de Janeiro;1994;29
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1994;18
CST-COMPANHIA SIDERURGICA DE TUBARAO;Espírito Santo;1994;13
QUINTILIANO DINIZ DE DEUS;Minas Gerais;1994;11
ADEMIR DE NICOLAI;São Paulo;1994;10
CIBIE DO BRASIL LTDA;São Paulo;1994;10
TUBOS E CONEXOES TIGRE;Santa Catarina;1994;10
CLAUDINEY PEREIRA DINIZ;Minas Gerais;1994;9
CLAUDIO LOURENCO LORENZETTI;São Paulo;1994;9
INDUSTRIAS JOAO MAGGION S A;São Paulo;1994;9
LARUS TURBO LTDA;Paraná;1994;9
LUIZ JORGE COELHO LEAL;Rio Grande do Norte;1994;9
MENDES JUNIOR SIDERURGICA S A;Minas Gerais;1994;9
COMPANHIA SIDERURGICA PAULISTA COSIPA;São Paulo;1994;8
CSN;Rio de Janeiro;1995;20
PETROBRAS;Rio de Janeiro;1995;18
IVO SIEDLER;São Paulo;1995;16
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;1995;15
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1995;14
CARLOS MENDES NETO;São Paulo;1995;13
CST-COMPANHIA SIDERURGICA DE TUBARAO;Espírito Santo;1995;12
GENERAL MOTORS DO BRASIL LTDA;São Paulo;1995;12
SOPRANO ELETROMETALURGICA E HIDRAULICA LTDA;Rio Grande do Sul;1995;12
JORGE RUI FREITAS ESPIRITO SANTO;São Paulo;1995;11
LUIZ DE WETTERLE BONOW;Santa Catarina;1995;11
ANGELA MARIA FERREIRA FERRAREZI;São Paulo;1995;10
MIRELLA LEVI DANCONA;São Paulo;1995;10
PRODUTOS ELETRICOS CORONA LTDA;São Paulo;1995;10
COMPANHIA SIDERURGICA PAULISTA COSIPA;São Paulo;1995;9
PETROBRAS;Rio de Janeiro;1996;42
USIMINAS;Minas Gerais;1996;41
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1996;22
CLARISSA SELIGMAN GOLBERT;Rio Grande do Sul;1996;20
PAULO SERGIO ARIAS;Santa Catarina;1996;14
CIBIE DO BRASIL LTDA;São Paulo;1996;13
CLAUDIO LOURENCO LORENZETTI;São Paulo;1996;13
KIMBERLY CLARK KENKO INDUSTRIA E COMERCIO LTDA;São Paulo;1996;12
EMBRAPA;São Paulo;1996;11
SPRINGER CARRIER SA;Rio Grande do Sul;1996;11
WAHLER METALURGICA LTDA;São Paulo;1996;11
ARNO;São Paulo;1996;10
EMBRACO;Santa Catarina;1996;10
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;1996;10
ROBERTO FRANCO GARCIA;Rio de Janeiro;1996;10
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1997;41
PETROBRAS;Rio de Janeiro;1997;41
ARNO;São Paulo;1997;28
ALOISIO RODRIGUES PEREIRA;Minas Gerais;1997;25
UNICAMP;São Paulo;1997;21
DORACIR DO NASCIMENTO;São Paulo;1997;17
USIMINAS;Minas Gerais;1997;17
EMBRAPA;São Paulo;1997;16
UFMG;Minas Gerais;1997;15
CLAUDIO LOURENCO LORENZETTI;São Paulo;1997;12
ELECTROLUX;Paraná;1997;12
EMBRACO;Santa Catarina;1997;12
PAULO SERGIO ARIAS;Santa Catarina;1997;12
WAHLER METALURGICA LTDA;São Paulo;1997;11
BENEDICTO GONCALVES CAMPOS;São Paulo;1997;10
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1998;31
PETROBRAS;Rio de Janeiro;1998;31
UNICAMP;São Paulo;1998;27
ARNO;São Paulo;1998;19
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;1998;18
SPRINGER CARRIER SA;Rio Grande do Sul;1998;16
CLAUDIO LOURENCO LORENZETTI;São Paulo;1998;11
EMBRACO;Santa Catarina;1998;11
OTONI MOREIRA GOMES;Minas Gerais;1998;10
SOUZA CRUZ S A;Rio de Janeiro;1998;10
MAQUINAS AGRICOLAS JACTO SA;São Paulo;1998;9
RAUL WOSNIAK;São Paulo;1998;9
ALDO ALVIM DE REZENDE CHAVES;Rio de Janeiro;1998;8
INSTITUTO DE TECNOLOGIA LACTEC;Paraná;1998;8
JOAO EDIVALDO RODRIGUES;São Paulo;1998;8
PETROBRAS;Rio de Janeiro;1999;31
ARNO;São Paulo;1999;26
ELECTROLUX;Paraná;1999;19
CLAUDIO LOURENCO LORENZETTI;São Paulo;1999;18
UNICAMP;São Paulo;1999;18
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1999;16
MAQUINAS AGRICOLAS JACTO SA;São Paulo;1999;15
EMBRACO;Santa Catarina;1999;14
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;1999;14
ANDRZEJ JOSEF MALIK;São Paulo;1999;12
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS ECT;Distrito Federal;1999;12
JOHNSON & JOHNSON;São Paulo;1999;12
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;1999;12
SPRINGER CARRIER SA;Rio Grande do Sul;1999;12
MATHEUS RODRIGUES;São Paulo;1999;11
UNICAMP;São Paulo;2000;39
ARNO;São Paulo;2000;38
PETROBRAS;Rio de Janeiro;2000;35
MAQUINAS AGRICOLAS JACTO SA;São Paulo;2000;24
DANA INDUSTRIAL;São Paulo;2000;20
USIMINAS;Minas Gerais;2000;18
JOHNSON & JOHNSON;São Paulo;2000;17
JOSE LUIZ PARREIRA FIUZA;Rio de Janeiro;2000;17
JOSE RAIMUNDO DOS SANTOS;São Paulo;2000;17
FUNDACAO OSWALDO CRUZ;Rio de Janeiro;2000;15
EMBRACO;Santa Catarina;2000;14
EMBRAPA;Distrito Federal;2000;14
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2000;14
ALVARO COELHO DA SILVA;São Paulo;2000;13
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;2000;13
PETROBRAS;Rio de Janeiro;2001;35
EMBRACO;Santa Catarina;2001;30
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;2001;27
DANA INDUSTRIAL;São Paulo;2001;23
UNICAMP;São Paulo;2001;21
JOSE RAIMUNDO DOS SANTOS;São Paulo;2001;17
UFMG;Minas Gerais;2001;17
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2001;16
COMPANHIA VALE DO RIO DOCE;Minas Gerais;2001;15
ARNO;São Paulo;2001;14
JOHNSON & JOHNSON;São Paulo;2001;12
EMBRAPA;Distrito Federal;2001;11
USIMINAS;Minas Gerais;2001;11
ACHE LABORATORIOS FARMACEUTICOS S A;São Paulo;2001;10
CLAUDIO LOURENCO LORENZETTI;São Paulo;2001;10
UNICAMP;São Paulo;2002;60
PETROBRAS;Rio de Janeiro;2002;44
ARNO;São Paulo;2002;29
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;2002;28
COMPANHIA VALE DO RIO DOCE;Minas Gerais;2002;27
FAPESP;São Paulo;2002;25
UFMG;Minas Gerais;2002;25
DANA INDUSTRIAL;São Paulo;2002;21
UFRJ;Rio de Janeiro;2002;19
MARCHESAN IMPLEMENTOS E MAQUINAS AGRICOLAS TATU SA;São Paulo;2002;17
JOSE RAIMUNDO DOS SANTOS;São Paulo;2002;16
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2002;16
DIXIE TOGA S A;São Paulo;2002;14
ALBERTO JORGE DA COSTA SOARES;Pará;2002;13
UNESP;São Paulo;2002;13
UNICAMP;São Paulo;2003;55
PETROBRAS;Rio de Janeiro;2003;48
ARNO;São Paulo;2003;43
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2003;41
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;2003;31
RAFAEL GANZO;Santa Catarina;2003;29
FAPESP;São Paulo;2003;28
COMPANHIA VALE DO RIO DOCE;Minas Gerais;2003;25
UFMG;Minas Gerais;2003;21
CNPQ;Distrito Federal;2003;17
UFRJ;Rio de Janeiro;2003;16
USP;São Paulo;2003;17
EMBRACO;Santa Catarina;2003;16
CNEN-COMISSAO NACIONAL DE ENERGIA NUCLEAR;Rio de Janeiro;2003;13
ISOESTE IND E COM DE ISOLANTES TERMICOS LTDA;Goiás;2003;12
PETROBRAS;Rio de Janeiro;2004;77
UNICAMP;São Paulo;2004;51
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2004;47
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;2004;28
UFRJ;Rio de Janeiro;2004;28
COMPANHIA VALE DO RIO DOCE;Minas Gerais;2004;22
UFMG;Minas Gerais;2004;22
MARCOS ANTONIO HITOSHI MATSUO;Goiás;2004;17
ARNO;São Paulo;2004;16
EDSON DONIZETTI BEGNANI;São Paulo;2004;16
AMANCO;São Paulo;2004;15
FAPESP;São Paulo;2004;15
MARCO ANTONIO POMARICO;São Paulo;2004;15
PEDRO RICARDO CLEMENTE FERNANDES;Minas Gerais;2004;15
USP;São Paulo;2004;15
PETROBRAS;Rio de Janeiro;2005;89
UNICAMP;São Paulo;2005;66
USP;São Paulo;2005;30
MAQUINAS AGRICOLAS JACTO SA;São Paulo;2005;27
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2005;27
UFRJ;Rio de Janeiro;2005;20
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;2005;19
UFMG;Minas Gerais;2005;18
FATIMA APARECIDA BALDASSO;São Paulo;2005;17
PAULO CESAR RIBEIRO LIMA;Distrito Federal;2005;15
CNEN-COMISSAO NACIONAL DE ENERGIA NUCLEAR;Rio de Janeiro;2005;12
COMPANHIA VALE DO RIO DOCE;Minas Gerais;2005;13
EMBRACO;Santa Catarina;2005;13
ARNO;São Paulo;2005;12
UFPE-UNIVERSIDADE FEDERAL DE PERNAMBUCO;Pernambuco;2005;12
PETROBRAS;Rio de Janeiro;2006;77
UNICAMP;São Paulo;2006;52
UFMG;Minas Gerais;2006;32
WHIRLPOOL SA;São Paulo;2006;28
DELMAR JOSE TARRASCONI;Rio Grande do Sul;2006;27
USP;São Paulo;2006;27
COMPANHIA VALE DO RIO DOCE;Minas Gerais;2006;24
GIUSEPPE JEFFREY ARIPPOL;São Paulo;2006;19
ELETRONORTE;Distrito Federal;2006;18
DAVID GONCALVES DE OLIVEIRA;Minas Gerais;2006;17
DURATEX SA;São Paulo;2006;15
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2006;15
SPRINGER CARRIER SA;Rio Grande do Sul;2006;14
UFRJ;Rio de Janeiro;2006;14
UFPR;Paraná;2006;13
USP;São Paulo;2007;74
PETROBRAS;Rio de Janeiro;2007;61
WHIRLPOOL SA;São Paulo;2007;50
UNICAMP;São Paulo;2007;43
UFMG;Minas Gerais;2007;40
SERGIO MASSAO WATANABE;São Paulo;2007;29
CNEN-COMISSAO NACIONAL DE ENERGIA NUCLEAR;Rio de Janeiro;2007;25
NELY CRISTINA BRAIDOTTI;São Paulo;2007;20
UFRJ;Rio de Janeiro;2007;17
EMBRAPA;Distrito Federal;2007;16
HERCULES LIMA;Minas Gerais;2007;15
FERNANDO NILO REZENDE;Minas Gerais;2007;14
UFPR;Paraná;2007;14
BRASKEM SA;Bahia;2007;12
GIUSEPPE JEFFREY ARIPPOL;São Paulo;2007;11
PETROBRAS;Rio de Janeiro;2008;75
WHIRLPOOL SA;São Paulo;2008;61
USP;São Paulo;2008;59
UNICAMP;São Paulo;2008;49
UFMG;Minas Gerais;2008;39
UFRJ;Rio de Janeiro;2008;29
ELECTROLUX;Paraná;2008;27
PRODUQUIMICA INDUSTRIA E COMERCIO;São Paulo;2008;25
CONSUELO DUTRA CABRAL VELHO;Rio Grande do Sul;2008;19
ANTONIO JOSE DE CARVALHO;São Paulo;2008;17
UFPR;Paraná;2008;17
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2008;16
EMBRAER;São Paulo;2008;15
IVAN LUCIO;Minas Gerais;2008;12
UFSC-UNIVERSIDADE FEDERAL DE SANTA CATARINA;Santa Catarina;2008;12
WHIRLPOOL SA;Santa Catarina;2009;70
PETROBRAS;Rio de Janeiro;2009;58
UNICAMP;São Paulo;2009;47
USP;São Paulo;2009;46
UFMG;Minas Gerais;2009;44
JOAO BATISTA MAGLIA;Distrito Federal;2009;40
ELECTROLUX;Paraná;2009;32
UFRGS;Rio Grande do Sul;2009;21
UFRJ;Rio de Janeiro;2009;18
UFPR;Paraná;2009;16
GERALDO DA PAIXAO;Minas Gerais;2009;13
EXTRAMOLD JOMO INDUSTRIA DE PLASTICOS LTDA;Rio Grande do Sul;2009;12
FATIMA APARECIDA DO AMARAL;São Paulo;2009;12
SEB DO BRASIL PRODUTOS DOMESTICOS LTDA;São Paulo;2009;12
USIMINAS;Minas Gerais;2009;12
WHIRLPOOL SA;São Paulo;2010;88
UFMG;Minas Gerais;2010;58
USP;São Paulo;2010;53
UNICAMP;São Paulo;2010;51
PETROBRAS;Rio de Janeiro;2010;46
UFRJ;Rio de Janeiro;2010;25
UFRGS;Rio Grande do Sul;2010;24
UFPR;Paraná;2010;22
EMBRAPA;Distrito Federal;2010;17
SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL SENAI SP;São Paulo;2010;16
ANTONIO JOSE DE CARVALHO;São Paulo;2010;15
ELECTROLUX;Paraná;2010;13
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2010;13
UNIVERSIDADE FEDERAL DE LAVRAS;Minas Gerais;2010;13
CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOM;São Paulo;2010;12
WHIRLPOOL SA;São Paulo;2011;138
USP;São Paulo;2011;84
UFMG;Minas Gerais;2011;66
UNICAMP;São Paulo;2011;59
UFPR;Paraná;2011;36
PETROBRAS;Rio de Janeiro;2011;35
CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOM;São Paulo;2011;28
JORGE PABLO KEMERER;Rio Grande do Sul;2011;28
UFRGS;Rio Grande do Sul;2011;28
ELECTROLUX;Paraná;2011;27
UNIVERSIDADE FEDERAL DE SERGIPE;Sergipe;2011;19
USIMINAS;Minas Gerais;2011;19
UFRJ;Rio de Janeiro;2011;18
CNEN-COMISSAO NACIONAL DE ENERGIA NUCLEAR;Rio de Janeiro;2011;16
EMBRAPA;Distrito Federal;2011;16
WHIRLPOOL SA;São Paulo;2012;117
UFMG;Minas Gerais;2012;70
UFPR;Paraná;2012;69
UNICAMP;São Paulo;2012;67
USP;São Paulo;2012;58
PETROBRAS;Rio de Janeiro;2012;49
CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOM;São Paulo;2012;34
UFRGS;Rio Grande do Sul;2012;33
AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA;Rio Grande do Sul;2012;27
ROMA JENSEN COMERCIO E INDUSTRIA LTDA;São Paulo;2012;26
ELECTROLUX;Paraná;2012;25
FUNDACAO UNIVERSIDADE DE BRASILIA;Distrito Federal;2012;20
UNIVERSIDADE DO RIO GRANDE DO NORTE;Rio Grande do Norte;2012;19
INSTITUTO FEDERAL DE EDUCACAO;N;2012;17
GRENDENE SA;Rio Grande do Sul;2012;17
WHIRLPOOL SA;São Paulo;2013;104
USP;São Paulo;2013;88
UFMG;Minas Gerais;2013;63
UNICAMP;São Paulo;2013;58
PETROBRAS;Rio de Janeiro;2013;51
UFPR;Paraná;2013;40
CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOM;São Paulo;2013;35
UFRGS;Rio Grande do Sul;2013;33
COMPANHIA VALE DO RIO DOCE;Rio de Janeiro;2013;31
UNIVERSIDADE FEDERAL DE VICOSA;Minas Gerais;2013;25
UNESP;São Paulo;2013;22
UNIVERSIDADE FEDERAL DE SERGIPE;Sergipe;2013;21
AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA;Rio Grande do Sul;2013;20
UNIVERSIDADE FEDERAL DO CEARA;Ceará;2013;19
MARCUS AUGUSTO RIGO;Rio Grande do Sul;2013;16
WHIRLPOOL SA;São Paulo;2014;104
USP;São Paulo;2014;79
UNICAMP;São Paulo;2014;62
UFPR;Paraná;2014;56
PETROBRAS;Rio de Janeiro;2014;51
UFMG;Minas Gerais;2014;44
CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOM;São Paulo;2014;40
SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL SENAI SP;São Paulo;2014;30
UFRGS;Rio Grande do Sul;2014;30
INSTITUTO FEDERAL DE EDUCACAO;N;2014;28
UNIVERSIDADE DO RIO GRANDE DO NORTE;Rio Grande do Norte;2014;27
UNESP;São Paulo;2014;25
UNIVERSIDADE FEDERAL DO CEARA;Ceará;2014;23
SAMSUNG ELECTRONICS;São Paulo;2014;22
UNIVERSIDADE ESTADUAL DE LONDRINA;Paraná;2014;21
WHIRLPOOL SA;São Paulo;2015;100
UFMG;Minas Gerais;2015;52
UNICAMP;São Paulo;2015;52
UFPR;Paraná;2015;49
INSTITUTO FEDERAL DE EDUCACAO;N;2015;45
USP;São Paulo;2015;39
CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOM;São Paulo;2015;38
PETROBRAS;Rio de Janeiro;2015;38
UNESP;São Paulo;2015;34
UFRGS;Rio Grande do Sul;2015;31
UNIVERSIDADE DO RIO GRANDE DO NORTE;Rio Grande do Norte;2015;31
OKI BRASIL;São Paulo;2015;27
UFPE-UNIVERSIDADE FEDERAL DE PERNAMBUCO;Pernambuco;2015;25
UNIVERSIDADE FEDERAL DE SANTA MARIA;Rio Grande do Sul;2015;23
UNIVERSIDADE FEDERAL DO CEARA;Ceará;2015;22
UFMG;Minas Gerais;2016;66
USP;São Paulo;2016;60
UNICAMP;São Paulo;2016;58
INSTITUTO FEDERAL DE EDUCACAO;N;2016;57
UFPR;Paraná;2016;48
UNIVERSIDADE FEDERAL DE PELOTAS;Rio Grande do Sul;2016;45
UNIVERSIDADE FEDERAL DO CEARA;Ceará;2016;40
UNESP;São Paulo;2016;35
WHIRLPOOL SA;São Paulo;2016;33
UNIVERSIDADE FEDERAL DA PARAIBA;Paraíba;2016;31
UNIVERSIDADE FEDERAL DA BAHIA;Bahia;2016;30
UFPE-UNIVERSIDADE FEDERAL DE PERNAMBUCO;Pernambuco;2016;29
NATURA COSMETICOS SA;São Paulo;2016;28
ASSOCIACAO PARANAENSE DE CULTURA APC;Paraná;2016;23
CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOM;São Paulo;2016;23
